gameid	url	league	split	date	week	game	patchno	playerid	side	position	player	team	champion	ban1	ban2	ban3	ban4	ban5	gamelength	result	k	d	a	teamkills	teamdeaths	doubles	triples	quadras	pentas	fb	fbassist	fbvictim	fbtime	kpm	okpm	ckpm	fd	fdtime	teamdragkills	oppdragkills	elementals	oppelementals	firedrakes	waterdrakes	earthdrakes	airdrakes	elders	oppelders	herald	heraldtime	ft	fttime	firstmidouter	firsttothreetowers	teamtowerkills	opptowerkills	fbaron	fbarontime	teambaronkills	oppbaronkills	dmgtochamps	dmgtochampsperminute	dmgshare	earnedgoldshare	wards	wpm	wardshare	wardkills	wcpm	visionwards	visionwardbuys	visiblewardclearrate	invisiblewardclearrate	totalgold	earnedgpm	goldspent	gspd	minionkills	monsterkills	monsterkillsownjungle	monsterkillsenemyjungle	cspm	goldat10	oppgoldat10	gdat10	goldat15	oppgoldat15	gdat15	xpat10	oppxpat10	xpdat10	csat10	oppcsat10	csdat10	csat15	oppcsat15	csdat15
1053459	https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053459?gameHash=48a8c464a2d66e81&tab=overview	LCS	2019-1	2019-02-10	3	2	9.02	3	Blue	Middle	huhi	100 Thieves	Ryze	Sion	Tahm Kench	Zilean	Syndra	Orianna	41.11666667	1	2	2	3	12	8	0	0	0	0	0	1	0	0.93075	0.048642075	0.121605188	0.486420754	0	9.49735	5	1	0	0	0	0	0	0	0	0	1		1	11.27386667	1	1	11	1	1	23.19145	2	0	12931	314.4953385	0.167183823	0.212749485	28	0.680989056	0.225806452	12	0.291852452	13	14	 	 	17443	295.1289826	15550	-0.154302671	367	35	30	3	9.777057154	3411	3295	116	5596	5009	587	4788	4765	23	95	88	7	157	139	18
1053459	https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053459?gameHash=48a8c464a2d66e81&tab=overview	LCS	2019-1	2019-02-10	3	2	9.02	4	Blue	ADC	Bang	100 Thieves	Ezreal	Sion	Tahm Kench	Zilean	Syndra	Orianna	41.11666667	1	3	0	6	12	8	0	0	0	0	0	1	0	0.93075	0.072963113	0.024321038	0.486420754	0	9.49735	5	1	0	0	0	0	0	0	0	0	1		1	11.27386667	1	1	11	1	1	23.19145	2	0	36200	880.4215647	0.468026789	0.24855043	19	0.462099716	0.153225806	11	0.267531415	4	4	 	 	19485	344.7925415	16700	0.063320463	371	38	18	16	9.947304418	3470	3601	-131	5293	5791	-498	3516	3426	90	85	91	-6	125	147	-22
1053459	https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053459?gameHash=48a8c464a2d66e81&tab=overview	LCS	2019-1	2019-02-10	3	2	9.02	5	Blue	Support	aphromoo	100 Thieves	Braum	Sion	Tahm Kench	Zilean	Syndra	Orianna	41.11666667	1	2	3	4	12	8	0	0	0	0	1	0	0	0.93075	0.048642075	0	0.486420754	0	9.49735	5	1	0	0	0	0	0	0	0	0	1		1	11.27386667	1	1	11	1	1	23.19145	2	0	2737	66.56668018	0.035386445	0.155138365	49	1.191730847	0.39516129	10	0.243210377	15	15	 	 	14157	215.2100527	8675	0.050221566	84	0	0	0	2.042967167	2499	2132	367	3926	3125	801	2217	2606	-389	7	3	4	17	5	12
1053459	https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053459?gameHash=48a8c464a2d66e81&tab=overview	LCS	2019-1	2019-02-10	3	2	9.02	6	Red	Top	Darshan	Counter Logic Gaming	Ornn	Urgot	Akali	Cassiopeia	Zoe	Lissandra	41.11666667	0	0	4	1	8	12	0	0	0	0	0	0	0	0.93075	0	0.048642075	0.486420754	0	9.49735	1	5	0	1	0	0	0	0	0	0	0		0	11.27386667	0	0	1	11	0	23.19145	0	2	11317	275.2411836	0.184517307	0.168203311	24	0.583704905	0.173913043	6	0.145926226	10	11	 	 	12181	167.1516822	11725	-0.280476627	292	0	0	0	7.101743008	2695	3757	-1062	4248	6068	-1820	3875	4832	-957	61	82	-21	113	125	-12
1053459	https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053459?gameHash=48a8c464a2d66e81&tab=overview	LCS	2019-1	2019-02-10	3	2	9.02	7	Red	Jungle	Wiggily	Counter Logic Gaming	Xin Zhao	Urgot	Akali	Cassiopeia	Zoe	Lissandra	41.11666667	0	2	3	4	8	12	0	0	0	0	0	0	1	0.93075	0.048642075	0.072963113	0.486420754	1	9.49735	1	5	1	3	1	0	0	0	0	1	0		0	11.27386667	0	0	1	11	0	23.19145	0	2	4737	115.2087556	0.077234115	0.146494826	15	0.364815565	0.108695652	18	0.437778679	12	13	 	 	11294	145.5789218	11250	-0.034333639	33	144	88	24	4.304823672	3222	3060	162	4639	4350	289	2861	3195	-334	51	49	2	80	74	6
1053459	https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053459?gameHash=48a8c464a2d66e81&tab=overview	LCS	2019-1	2019-02-10	3	2	9.02	8	Red	Middle	PowerOfEvil	Counter Logic Gaming	Viktor	Urgot	Akali	Cassiopeia	Zoe	Lissandra	41.11666667	0	5	2	1	8	12	1	0	0	0	0	0	0	0.93075	0.121605188	0.048642075	0.486420754	0	9.49735	1	5	0	0	0	0	0	0	0	0	0		0	11.27386667	0	0	1	11	0	23.19145	0	2	25503	620.2594244	0.415812042	0.331127079	14	0.340494528	0.101449275	8	0.194568302	2	2	 	 	18838	329.0568302	18150	0.154302671	420	35	23	0	11.06607215	3295	3411	-116	5009	5596	-587	4765	4788	-23	88	95	-7	139	157	-18
1053459	https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053459?gameHash=48a8c464a2d66e81&tab=overview	LCS	2019-1	2019-02-10	3	2	9.02	9	Red	ADC	Stixxay	Counter Logic Gaming	Lucian	Urgot	Akali	Cassiopeia	Zoe	Lissandra	41.11666667	0	1	1	4	8	12	0	0	0	0	0	0	0	0.93075	0.024321038	0.072963113	0.486420754	0	9.49735	1	5	0	0	0	0	0	0	0	0	0		0	11.27386667	0	0	1	11	0	23.19145	0	2	17508	425.812728	0.285458073	0.269672733	18	0.437778679	0.130434783	9	0.218889339	8	9	 	 	16327	267.9867045	15675	-0.063320463	399	12	8	4	9.995946494	3601	3470	131	5791	5293	498	3426	3516	-90	91	85	6	147	125	22
1053459	https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053459?gameHash=48a8c464a2d66e81&tab=overview	LCS	2019-1	2019-02-10	3	2	9.02	10	Red	Support	Biofrost	Counter Logic Gaming	Thresh	Urgot	Akali	Cassiopeia	Zoe	Lissandra	41.11666667	0	0	2	6	8	12	0	0	0	0	0	0	0	0.93075	0	0.048642075	0.486420754	0	9.49735	1	5	0	0	0	0	0	0	0	0	0		0	11.27386667	0	0	1	11	0	23.19145	0	2	2268	55.1601135	0.036978462	0.084502051	67	1.629509526	0.485507246	16	0.389136603	25	26	 	 	8761	83.97373328	8250	-0.050221566	17	0	0	0	0.413457641	2132	2499	-367	3125	3926	-801	2606	2217	389	3	7	-4	5	17	-12
1053459	https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053459?gameHash=48a8c464a2d66e81&tab=overview	LCS	2019-1	2019-02-10	3	2	9.02	100	Blue	Team	Team	100 Thieves	 	Sion	Tahm Kench	Zilean	Syndra	Orianna	41.11666667	1	12	8	24	12	8	 	 	 	 	1	1	0	0.93075	0.291852452	0.194568302	0.486420754	0	9.49735	5	1	4	1	0	1	3	0	1	0	1	10.92353333	1	11.27386667	1	1	11	1	1	23.19145	2	0	77346	1881.134982	 	 	124	3.015808675	1	70	1.702472639	51	52	0.712121212	0.319444444	83579	1387.21362	68118	0.046077136	1220	281	134	72	36.50587758	16197	14945	1252	25233	22812	2421	18548	17533	1015	318	294	24	498	484	14
1053459	https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1053459?gameHash=48a8c464a2d66e81&tab=overview	LCS	2019-1	2019-02-10	3	2	9.02	200	Red	Team	Team	Counter Logic Gaming	 	Urgot	Akali	Cassiopeia	Zoe	Lissandra	41.11666667	0	8	12	16	8	12	 	 	 	 	0	0	1	0.93075	0.194568302	0.291852452	0.486420754	1	9.49735	1	5	1	4	1	0	0	0	0	1	0	10.92353333	0	11.27386667	0	0	1	11	0	23.19145	0	2	61333	1491.682205	 	 	138	3.356303202	1	57	1.386299149	57	61	0.566666667	0.359375	67401	993.7478719	65050	-0.046077136	1161	191	119	28	32.88204297	14945	16197	-1252	22812	25233	-2421	17533	18548	-1015	294	318	-24	484	498	-14
1063058	https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1063058?gameHash=3b769abf5ecffc4b&tab=overview	CBLoL	2019-1	2019-02-09	5	1	9.02	1	Blue	Top	Tay	INTZ e-Sports	Sion	Xin Zhao	Morgana	Camille	Braum	Urgot	40.1	1	3	1	9	18	6	0	0	0	0	0	0	0	2.053566667	0.074812968	0.024937656	0.598503741	0	9.4649	5	0	0	0	0	0	0	0	0	0	1		1	13.38916667	1	1	11	2	1	21.11463333	2	1	12094	301.59601	0.207430022	0.18707935	26	0.648379052	0.18705036	12	0.29925187	13	14	 	 	15325	252.8967581	13800	-0.04428698	297	0	0	0	7.406483791	3168	3225	-57	5521	4465	1056	4585	4765	-180	81	78	3	141	111	30
1063058	https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1063058?gameHash=3b769abf5ecffc4b&tab=overview	CBLoL	2019-1	2019-02-09	5	1	9.02	2	Blue	Jungle	Shini	INTZ e-Sports	Trundle	Xin Zhao	Morgana	Camille	Braum	Urgot	40.1	1	6	2	7	18	6	0	0	0	0	1	0	0	2.053566667	0.149625935	0.024937656	0.598503741	1	9.4649	5	0	3	0	0	0	2	1	1	0	1		1	13.38916667	1	1	11	2	1	21.11463333	2	1	9216	229.8254364	0.158068057	0.186507477	14	0.349127182	0.100719424	23	0.573566085	13	13	 	 	15294	252.1236908	14025	0.30626927	53	146	84	5	4.962593516	3849	3038	811	6132	4406	1726	3612	2644	968	54	48	6	86	77	9
