Date	Time	matchup	record	team1	team2	B's	league
23 Jul 2017 - Summer Season	11:00:00 PM	Team EnVyUs - FlyQuest eSports	2:01:00 AM	1.46	2.62	12	NALCS
23 Jul 2017 - Summer Season	11:00:00 PM	Counter Logic Gaming - Immortals	1:02:00 AM	1.91	1.83	12	NALCS
23 Jul 2017 - Summer Season	8:00:00 PM	Echo Fox - Team Solomid	1:02:00 AM	4.67	1.18	12	NALCS
23 Jul 2017 - Summer Season	8:00:00 PM	Team Dignitas - Cloud9	1:02:00 AM	1.97	1.8	12	NALCS
23 Jul 2017 - Summer Season	4:00:00 PM	Misfits - Splyce	1:02:00 AM	1.63	2.23	7	EULCS
22 Jul 2017 - Summer Season	11:00:00 PM	FlyQuest eSports - Immortals	1:02:00 AM	4.15	1.25	12	NALCS
22 Jul 2017 - Summer Season	11:00:00 PM	Phoenix1 - Team Liquid	12:02:00 AM	1.43	2.92	12	NALCS
22 Jul 2017 - Summer Season	8:00:00 PM	Counter Logic Gaming - Echo Fox	2:00:00 AM	1.25	3.78	12	NALCS
22 Jul 2017 - Summer Season	8:00:00 PM	Team Solomid - Team Dignitas	12:02:00 AM	1.39	2.89	12	NALCS
22 Jul 2017 - Summer Season	7:00:00 PM	G2 Esports - Vitality	2:01:00 AM	1.1	7	6	EULCS
22 Jul 2017 - Summer Season	4:00:00 PM	Fnatic - Unicorns of Love	2:01:00 AM	1.44	2.66	9	EULCS
22 Jul 2017 - Summer Season	2:00:00 AM	Team Liquid - Team EnVyUs	2:01:00 AM	3.41	1.29	12	NALCS
21 Jul 2017 - Summer Season	11:00:00 PM	Cloud9 - Phoenix1	2:01:00 AM	1.57	2.32	12	NALCS
21 Jul 2017 - Summer Season	7:00:00 PM	Ninjas in Pyjamas - Splyce	12:02:00 AM	4.7	1.2	7	EULCS
21 Jul 2017 - Summer Season	4:00:00 PM	Misfits - Mysterious Monkeys	2:00:00 AM	1.26	3.65	7	EULCS
20 Jul 2017 - Summer Season	7:00:00 PM	Roccat - Unicorns of Love	2:01:00 AM	5	1.18	6	EULCS
20 Jul 2017 - Summer Season	4:00:00 PM	H2k-Gaming - G2 Esports	1:02:00 AM	2.06	1.69	7	EULCS
16 Jul 2017 - Summer Season	11:00:00 PM	Echo Fox - Team EnVyUs	1:02:00 AM	2.41	1.56	12	NALCS
16 Jul 2017 - Summer Season	11:00:00 PM	Team Solomid - Team Liquid	2:00:00 AM	1.12	5.92	12	NALCS
16 Jul 2017 - Summer Season	8:00:00 PM	Cloud9 - Immortals	1:02:00 AM	2.04	1.74	12	NALCS
16 Jul 2017 - Summer Season	8:00:00 PM	Team Dignitas - Phoenix1	2:01:00 AM	1.87	1.89	12	NALCS
15 Jul 2017 - Summer Season	11:00:00 PM	Cloud9 - Team EnVyUs	12:02:00 AM	1.31	3.35	12	NALCS
15 Jul 2017 - Summer Season	11:00:00 PM	Team Liquid - FlyQuest eSports	12:02:00 AM	2.2	1.65	12	NALCS
15 Jul 2017 - Summer Season	8:00:00 PM	Counter Logic Gaming - Team Dignitas	12:02:00 AM	1.36	2.94	11	NALCS
15 Jul 2017 - Summer Season	8:00:00 PM	Team Solomid - Phoenix1	2:00:00 AM	1.36	2.95	12	NALCS
15 Jul 2017 - Summer Season	7:00:00 PM	Fnatic - Vitality	2:00:00 AM	1.16	4.78	8	EULCS
