Date	Time	matchup	record	team1	team2	B's	league
12 Mar 2017 - Spring Season	11:00:00 PM	Team Liquid - Team EnVyUs	2:01:00 AM	1.33	3.18	11	NALCS
12 Mar 2017 - Spring Season	8:00:00 PM	Counter Logic Gaming - Cloud9	2:01:00 AM	3.5	1.27	12	NALCS
12 Mar 2017 - Spring Season	4:10:00 PM	Origen - Giants Gaming	1:02:00 AM	2.84	1.34	6	EULCS
11 Mar 2017 - Spring Season	11:00:00 PM	FlyQuest eSports - Immortals	12:02:00 AM	1.52	2.41	12	NALCS
11 Mar 2017 - Spring Season	11:00:00 PM	Phoenix1 - Echo Fox	2:00:00 AM	1.35	2.99	12	NALCS
11 Mar 2017 - Spring Season	8:00:00 PM	Counter Logic Gaming - Team Dignitas	12:02:00 AM	1.53	2.4	12	NALCS
11 Mar 2017 - Spring Season	8:00:00 PM	Team EnVyUs - Team Solomid	1:02:00 AM	5.6	1.11	12	NALCS
11 Mar 2017 - Spring Season	6:00:00 PM	Misfits - H2k-Gaming	12:02:00 AM	1.75	2	11	EULCS
11 Mar 2017 - Spring Season	3:00:00 PM	Vitality - Roccat	12:02:00 AM	1.48	2.53	11	EULCS
11 Mar 2017 - Spring Season	2:00:00 AM	FlyQuest eSports - Phoenix1	12:02:00 AM	1.7	2.02	11	NALCS
10 Mar 2017 - Spring Season	11:00:00 PM	Team Liquid - Cloud9	12:02:00 AM	3.81	1.23	11	NALCS
10 Mar 2017 - Spring Season	7:05:00 PM	Fnatic - Unicorns of Love	1:02:00 AM	2.93	1.37	8	EULCS
10 Mar 2017 - Spring Season	4:10:00 PM	G2 Esports - Splyce	2:01:00 AM	1.18	4.58	8	EULCS
09 Mar 2017 - Spring Season	6:00:00 PM	Roccat - Origen	2:01:00 AM	1.53	2.4	8	EULCS
09 Mar 2017 - Spring Season	4:00:00 PM	Vitality - Giants Gaming	2:01:00 AM	1.67	2.12	8	EULCS
05 Mar 2017 - Spring Season	11:00:00 PM	Cloud9 - FlyQuest eSports	2:00:00 AM	1.39	2.75	12	NALCS
05 Mar 2017 - Spring Season	11:00:00 PM	Immortals - Team EnVyUs	1:02:00 AM	1.35	3.02	12	NALCS
05 Mar 2017 - Spring Season	8:00:00 PM	Echo Fox - Team Liquid	2:01:00 AM	1.67	2.12	12	NALCS
05 Mar 2017 - Spring Season	8:00:00 PM	Team Dignitas - Team Solomid	12:02:00 AM	3.21	1.32	12	NALCS
04 Mar 2017 - Spring Season	11:00:00 PM	Phoenix1 - Team Dignitas	2:01:00 AM	1.47	2.55	12	NALCS
04 Mar 2017 - Spring Season	11:00:00 PM	Team Solomid - Counter Logic Gaming	2:00:00 AM	1.43	2.6	12	NALCS
04 Mar 2017 - Spring Season	8:00:00 PM	Echo Fox - Cloud9	12:02:00 AM	3.18	1.32	12	NALCS
04 Mar 2017 - Spring Season	8:00:00 PM	FlyQuest eSports - Team EnVyUs	2:01:00 AM	1.35	3.03	12	NALCS
04 Mar 2017 - Spring Season	6:00:00 PM	Roccat - Unicorns of Love	12:02:00 AM	6.28	1.09	8	EULCS
04 Mar 2017 - Spring Season	3:00:00 PM	Origen - Misfits	12:02:00 AM	7.89	1.06	8	EULCS
04 Mar 2017 - Spring Season	2:00:00 AM	Phoenix1 - Counter Logic Gaming	1:02:00 AM	1.52	2.4	11	NALCS
03 Mar 2017 - Spring Season	11:00:00 PM	Immortals - Team Liquid	1:02:00 AM	1.48	2.55	11	NALCS
03 Mar 2017 - Spring Season	7:00:00 PM	Splyce - Giants Gaming	2:00:00 AM	1.16	4.82	9	EULCS
03 Mar 2017 - Spring Season	4:00:00 PM	G2 Esports - Vitality	2:00:00 AM	1.06	7.99	9	EULCS
02 Mar 2017 - Spring Season	7:00:00 PM	Fnatic - H2k-Gaming	12:02:00 AM	2.63	1.45	8	EULCS
02 Mar 2017 - Spring Season	4:00:00 PM	Unicorns of Love - Misfits	1:02:00 AM	1.95	1.79	8	EULCS
19 Feb 2017 - Spring Season	11:00:00 PM	Phoenix1 - Cloud9	2:00:00 AM	3.01	1.36	11	NALCS
19 Feb 2017 - Spring Season	11:00:00 PM	Team Liquid - Counter Logic Gaming	1:02:00 AM	2.23	1.6	11	NALCS
19 Feb 2017 - Spring Season	8:00:00 PM	Immortals - Echo Fox	2:00:00 AM	2.05	1.71	10	NALCS
19 Feb 2017 - Spring Season	8:00:00 PM	FlyQuest eSports - Team Solomid	1:02:00 AM	2.18	1.64	11	NALCS
18 Feb 2017 - Spring Season	11:05:00 PM	Cloud9 - Team Solomid	1:02:00 AM	1.63	2.3	2	NALCS
18 Feb 2017 - Spring Season	11:00:00 PM	Team EnVyUs - Echo Fox	2:00:00 AM	3.58	1.26	6	NALCS
18 Feb 2017 - Spring Season	8:00:00 PM	Counter Logic Gaming - Immortals	2:01:00 AM	1.82	1.91	11	NALCS
18 Feb 2017 - Spring Season	6:00:00 PM	Origen - Fnatic	12:02:00 AM	5.64	1.11	9	EULCS
18 Feb 2017 - Spring Season	3:00:00 PM	Splyce - Roccat	2:00:00 AM	1.15	4.97	9	EULCS
18 Feb 2017 - Spring Season	2:00:00 AM	Team EnVyUs - Phoenix1	12:02:00 AM	4.06	1.19	4	NALCS
17 Feb 2017 - Spring Season	7:00:00 PM	Giants Gaming - H2k-Gaming	12:02:00 AM	4.31	1.15	9	EULCS
17 Feb 2017 - Spring Season	4:00:00 PM	Vitality - Misfits	12:02:00 AM	4.71	1.17	9	EULCS
16 Feb 2017 - Spring Season	7:00:00 PM	Splyce - Fnatic	2:01:00 AM	1.74	1.92	9	EULCS
16 Feb 2017 - Spring Season	4:00:00 PM	G2 Esports - Unicorns of Love	2:00:00 AM	1.7	2.07	9	EULCS
12 Feb 2017 - Spring Season	11:00:00 PM	FlyQuest eSports - Cloud9	1:02:00 AM	2.42	1.53	11	NALCS
12 Feb 2017 - Spring Season	11:00:00 PM	Team Dignitas - Team EnVyUs	2:00:00 AM	1.72	2.11	11	NALCS
12 Feb 2017 - Spring Season	8:00:00 PM	Counter Logic Gaming - Phoenix1	2:01:00 AM	2.53	1.49	11	NALCS
12 Feb 2017 - Spring Season	8:00:00 PM	Echo Fox - Team Solomid	2:00:00 AM	3.17	1.33	11	NALCS
11 Feb 2017 - Spring Season	11:00:00 PM	Team Liquid - Immortals	12:02:00 AM	1.58	2.24	10	NALCS
11 Feb 2017 - Spring Season	11:00:00 PM	Team Solomid - Team EnVyUs	2:00:00 AM	1.11	5.62	10	NALCS
11 Feb 2017 - Spring Season	8:00:00 PM	Counter Logic Gaming - Echo Fox	12:02:00 AM	1.51	2.45	11	NALCS
11 Feb 2017 - Spring Season	8:00:00 PM	Phoenix1 - FlyQuest eSports	12:02:00 AM	1.93	1.82	11	NALCS
11 Feb 2017 - Spring Season	6:00:00 PM	G2 Esports - Origen	2:00:00 AM	1.04	10	9	EULCS
11 Feb 2017 - Spring Season	3:00:00 PM	Roccat - H2k-Gaming	12:02:00 AM	5.55	1.13	9	EULCS
11 Feb 2017 - Spring Season	2:00:00 AM	Immortals - Team Dignitas	2:00:00 AM	2.11	1.68	11	NALCS
10 Feb 2017 - Spring Season	11:00:00 PM	Cloud9 - Team Liquid	2:01:00 AM	1.12	5.61	11	NALCS
10 Feb 2017 - Spring Season	7:00:00 PM	Vitality - Fnatic	1:02:00 AM	2.61	1.46	9	EULCS
10 Feb 2017 - Spring Season	4:00:00 PM	Splyce - Misfits	12:02:00 AM	2.25	1.61	9	EULCS
09 Feb 2017 - Spring Season	7:00:00 PM	G2 Esports - H2k-Gaming	2:01:00 AM	1.32	3.18	9	EULCS
09 Feb 2017 - Spring Season	4:00:00 PM	Giants Gaming - Unicorns of Love	12:02:00 AM	5.32	1.14	9	EULCS
05 Feb 2017 - Spring Season	11:00:00 PM	Cloud9 - Echo Fox	2:00:00 AM	1.15	4.95	11	NALCS
05 Feb 2017 - Spring Season	11:00:00 PM	Immortals - FlyQuest eSports	12:02:00 AM	2.3	1.58	11	NALCS
05 Feb 2017 - Spring Season	8:00:00 PM	Phoenix1 - Team Solomid	1:02:00 AM	2.07	1.69	11	NALCS
05 Feb 2017 - Spring Season	8:00:00 PM	Team Dignitas - Counter Logic Gaming	12:02:00 AM	1.98	1.75	11	NALCS
04 Feb 2017 - Spring Season	11:00:00 PM	Cloud9 - Team EnVyUs	2:00:00 AM	1.11	6.23	11	NALCS
04 Feb 2017 - Spring Season	11:00:00 PM	Team Liquid - Echo Fox	2:01:00 AM	2.01	1.75	11	NALCS
04 Feb 2017 - Spring Season	8:00:00 PM	Counter Logic Gaming - Team Solomid	1:02:00 AM	2.94	1.37	11	NALCS
04 Feb 2017 - Spring Season	8:00:00 PM	FlyQuest eSports - Team Dignitas	2:00:00 AM	1.78	1.96	11	NALCS
04 Feb 2017 - Spring Season	6:00:00 PM	Roccat - Fnatic	1:02:00 AM	3.81	1.26	11	EULCS
04 Feb 2017 - Spring Season	3:00:00 PM	Splyce - Origen	2:00:00 AM	1.19	4.35	11	EULCS
04 Feb 2017 - Spring Season	2:00:00 AM	Team EnVyUs - Team Liquid	2:00:00 AM	3.18	1.33	11	NALCS
03 Feb 2017 - Spring Season	11:00:00 PM	Immortals - Phoenix1	12:02:00 AM	2.54	1.48	11	NALCS
03 Feb 2017 - Spring Season	7:00:00 PM	G2 Esports - Giants Gaming	2:00:00 AM	1.15	5.11	11	EULCS
03 Feb 2017 - Spring Season	4:00:00 PM	Vitality - H2k-Gaming	1:02:00 AM	3.68	1.25	11	EULCS
02 Feb 2017 - Spring Season	7:00:00 PM	Misfits - Fnatic	2:00:00 AM	1.79	1.96	11	EULCS
02 Feb 2017 - Spring Season	4:00:00 PM	Splyce - Unicorns of Love	1:02:00 AM	2.25	1.6	11	EULCS
29 Jan 2017 - Spring Season	11:00:00 PM	Cloud9 - Counter Logic Gaming	2:01:00 AM	1.26	3.69	11	NALCS
29 Jan 2017 - Spring Season	11:00:00 PM	Team EnVyUs - Immortals	1:02:00 AM	3.38	1.32	10	NALCS
29 Jan 2017 - Spring Season	8:00:00 PM	Echo Fox - FlyQuest eSports	2:01:00 AM	3.06	1.35	11	NALCS
29 Jan 2017 - Spring Season	8:00:00 PM	Phoenix1 - Team Liquid	2:00:00 AM	2.18	1.63	11	NALCS
29 Jan 2017 - Spring Season	6:00:00 PM	Giants Gaming - Roccat	2:01:00 AM	1.53	2.46	11	EULCS
29 Jan 2017 - Spring Season	3:00:00 PM	Vitality - Origen	2:00:00 AM	1.52	2.45	11	EULCS
28 Jan 2017 - Spring Season	11:00:00 PM	Team Dignitas - Echo Fox	1:02:00 AM	1.23	3.96	11	NALCS
28 Jan 2017 - Spring Season	11:00:00 PM	Team Solomid - Team Liquid	2:01:00 AM	1.51	2.45	11	NALCS
28 Jan 2017 - Spring Season	8:00:00 PM	Immortals - Cloud9	12:02:00 AM	2.81	1.4	11	NALCS
28 Jan 2017 - Spring Season	8:00:00 PM	Phoenix1 - Team EnVyUs	2:00:00 AM	1.38	2.89	11	NALCS
28 Jan 2017 - Spring Season	6:00:00 PM	G2 Esports - Misfits	2:01:00 AM	1.24	3.81	11	EULCS
28 Jan 2017 - Spring Season	3:00:00 PM	H2k-Gaming - Unicorns of Love	1:02:00 AM	1.41	2.73	11	EULCS
28 Jan 2017 - Spring Season	2:00:00 AM	Team Solomid - Team Dignitas	2:01:00 AM	1.67	2.11	11	NALCS
27 Jan 2017 - Spring Season	11:00:00 PM	FlyQuest eSports - Counter Logic Gaming	2:00:00 AM	1.97	1.77	11	NALCS
27 Jan 2017 - Spring Season	7:00:00 PM	Giants Gaming - Fnatic	1:02:00 AM	3.17	1.31	11	EULCS
27 Jan 2017 - Spring Season	4:00:00 PM	Vitality - Splyce	12:02:00 AM	2.71	1.43	11	EULCS
26 Jan 2017 - Spring Season	7:00:00 PM	Misfits - Roccat	2:00:00 AM	1.26	3.55	10	EULCS
26 Jan 2017 - Spring Season	4:00:00 PM	Origen - Unicorns of Love	12:02:00 AM	4.26	1.2	11	EULCS
22 Jan 2017 - Spring Season	11:00:00 PM	Team Dignitas - Cloud9	1:02:00 AM	2.59	1.47	11	NALCS
22 Jan 2017 - Spring Season	8:00:00 PM	Team Solomid - Immortals	2:01:00 AM	1.46	2.62	11	NALCS
21 Jan 2017 - Spring Season	11:00:00 PM	Echo Fox - Immortals	1:02:00 AM	3.77	1.25	10	NALCS
21 Jan 2017 - Spring Season	8:00:00 PM	Counter Logic Gaming - Team Liquid	12:02:00 AM	1.68	2.12	11	NALCS
21 Jan 2017 - Spring Season	6:00:00 PM	Splyce - H2k-Gaming	12:02:00 AM	1.79	1.94	11	EULCS
21 Jan 2017 - Spring Season	3:00:00 PM	G2 Esports - Roccat	2:00:00 AM	1.11	6.06	11	EULCS
21 Jan 2017 - Spring Season	2:00:00 AM	Echo Fox - Phoenix1	12:02:00 AM	2.67	1.44	11	NALCS
20 Jan 2017 - Spring Season	11:00:00 PM	Team Solomid - Cloud9	12:02:00 AM	1.61	2.22	11	NALCS
20 Jan 2017 - Spring Season	7:00:00 PM	Vitality - Unicorns of Love	12:02:00 AM	1.77	1.96	11	EULCS
20 Jan 2017 - Spring Season	4:00:00 PM	Misfits - Giants Gaming	2:01:00 AM	1.4	2.81	10	EULCS
19 Jan 2017 - Spring Season	7:00:00 PM	G2 Esports - Fnatic	2:01:00 AM	1.37	2.95	10	EULCS
19 Jan 2017 - Spring Season	4:00:00 PM	Origen - H2k-Gaming	12:02:00 AM	5.33	1.13	10	EULCS
18 Mar 2018 - Spring Season	11:00:00 PM	Team Liquid - Optic Gaming	1:00:00 AM	1.35	3.11	10	NALCS
18 Mar 2018 - Spring Season	10:00:00 PM	Echo Fox - 100 Thieves	12:01:00 AM	1.83	1.94	10	NALCS
18 Mar 2018 - Spring Season	9:00:00 PM	Counter Logic Gaming - Team Solomid	12:01:00 AM	2.4	1.55	10	NALCS
18 Mar 2018 - Spring Season	8:00:00 PM	Golden Guardians - Clutch Gaming	12:01:00 AM	3.41	1.3	10	NALCS
18 Mar 2018 - Spring Season	7:00:00 PM	Cloud9 - FlyQuest eSports	12:01:00 AM	1.37	3	10	NALCS
18 Mar 2018 - Spring Season	1:00:00 AM	Counter Logic Gaming - Optic Gaming	12:01:00 AM	1.39	2.91	9	NALCS
18 Mar 2018 - Spring Season	12:00:00 AM	Golden Guardians - Team Solomid	12:01:00 AM	3.46	1.29	10	NALCS
18 Mar 2018 - Spring Season	11:00:00 PM	Team Liquid - Cloud9	1:00:00 AM	2.17	1.66	9	NALCS
18 Mar 2018 - Spring Season	10:00:00 PM	FlyQuest eSports - Echo Fox	12:01:00 AM	2.9	1.39	10	NALCS
18 Mar 2018 - Spring Season	9:00:00 PM	100 Thieves - Clutch Gaming	1:00:00 AM	1.9	1.86	9	NALCS
18 Mar 2018 - Spring Season	8:40:00 PM	Fnatic - Schalke 04	1:00:00 AM	1.43	2.68	10	EULCS
18 Mar 2018 - Spring Season	7:20:00 PM	G2 Esports - Vitality	1:00:00 AM	1.63	2.23	10	EULCS
18 Mar 2018 - Spring Season	6:00:00 PM	Unicorns of Love - Misfits	12:01:00 AM	2.75	1.43	10	EULCS
18 Mar 2018 - Spring Season	5:00:00 PM	H2k-Gaming - Roccat	1:00:00 AM	2.28	1.61	10	EULCS
18 Mar 2018 - Spring Season	4:05:00 PM	Giants Gaming - Splyce	12:01:00 AM	2.5	1.51	10	EULCS
16 Mar 2018 - Spring Season	9:00:00 PM	Unicorns of Love - G2 Esports	12:01:00 AM	2.88	1.4	9	EULCS
16 Mar 2018 - Spring Season	8:00:00 PM	Giants Gaming - Fnatic	12:01:00 AM	2.91	1.39	10	EULCS
16 Mar 2018 - Spring Season	8:00:00 PM	Misfits - Roccat	12:01:00 AM	1.63	2.23	9	EULCS
16 Mar 2018 - Spring Season	7:05:00 PM	Splyce - Vitality	12:01:00 AM	1.58	2.33	9	EULCS
16 Mar 2018 - Spring Season	5:10:00 PM	Schalke 04 - H2k-Gaming	12:01:00 AM	1.56	2.39	10	EULCS
11 Mar 2018 - Spring Season	11:00:00 PM	Optic Gaming - 100 Thieves	12:01:00 AM	2.63	1.46	9	NALCS
11 Mar 2018 - Spring Season	10:00:00 PM	Team Solomid - Cloud9	1:00:00 AM	1.96	1.81	9	NALCS
11 Mar 2018 - Spring Season	8:50:00 PM	Clutch Gaming - Team Liquid	12:01:00 AM	1.94	1.82	9	NALCS
11 Mar 2018 - Spring Season	8:00:00 PM	FlyQuest eSports - Golden Guardians	1:00:00 AM	1.67	2.15	10	NALCS
11 Mar 2018 - Spring Season	7:00:00 PM	Echo Fox - Counter Logic Gaming	12:01:00 AM	1.51	2.53	10	NALCS
11 Mar 2018 - Spring Season	1:00:00 AM	100 Thieves - Golden Guardians	1:00:00 AM	1.47	2.62	10	NALCS
11 Mar 2018 - Spring Season	12:00:00 AM	Team Solomid - Team Liquid	1:00:00 AM	1.82	1.95	10	NALCS
10 Mar 2018 - Spring Season	11:00:00 PM	Optic Gaming - Cloud9	12:01:00 AM	3.1	1.35	10	NALCS
10 Mar 2018 - Spring Season	10:00:00 PM	FlyQuest eSports - Counter Logic Gaming	12:01:00 AM	2.27	1.61	10	NALCS
10 Mar 2018 - Spring Season	9:00:00 PM	Clutch Gaming - Echo Fox	1:00:00 AM	2.23	1.63	10	NALCS
10 Mar 2018 - Spring Season	7:00:00 PM	Schalke 04 - G2 Esports	1:00:00 AM	2.54	1.5	10	EULCS
10 Mar 2018 - Spring Season	6:00:00 PM	Unicorns of Love - Fnatic	12:01:00 AM	2.87	1.4	10	EULCS
10 Mar 2018 - Spring Season	5:00:00 PM	Vitality - Roccat	12:01:00 AM	1.57	2.36	10	EULCS
10 Mar 2018 - Spring Season	4:00:00 PM	Splyce - H2k-Gaming	1:00:00 AM	1.49	2.56	10	EULCS
10 Mar 2018 - Spring Season	3:00:00 PM	Misfits - Giants Gaming	12:01:00 AM	1.53	2.44	10	EULCS
10 Mar 2018 - Spring Season	6:00:00 PM	Unicorns of Love - Fnatic	12:01:00 AM	2.87	1.4	10	EULCS
10 Mar 2018 - Spring Season	5:00:00 PM	Vitality - Roccat	12:01:00 AM	1.57	2.36	10	EULCS
10 Mar 2018 - Spring Season	4:00:00 PM	Splyce - H2k-Gaming	1:00:00 AM	1.49	2.56	10	EULCS
10 Mar 2018 - Spring Season	3:00:00 PM	Misfits - Giants Gaming	12:01:00 AM	1.53	2.44	10	EULCS
09 Mar 2018 - Spring Season	8:00:00 PM	Splyce - Misfits	1:00:00 AM	1.86	1.9	10	EULCS
09 Mar 2018 - Spring Season	7:00:00 PM	Fnatic - Roccat	1:00:00 AM	1.45	2.69	10	EULCS
09 Mar 2018 - Spring Season	6:00:00 PM	G2 Esports - H2k-Gaming	12:01:00 AM	1.39	2.95	10	EULCS
09 Mar 2018 - Spring Season	5:00:00 PM	Vitality - Unicorns of Love	1:00:00 AM	1.68	2.1	10	EULCS
09 Mar 2018 - Spring Season	4:00:00 PM	Giants Gaming - Schalke 04	12:01:00 AM	1.9	1.85	10	EULCS
04 Mar 2018 - Spring Season	11:00:00 PM	FlyQuest eSports - Clutch Gaming	12:01:00 AM	2.53	1.5	10	NALCS
04 Mar 2018 - Spring Season	10:00:00 PM	Cloud9 - Golden Guardians	1:00:00 AM	1.28	3.62	10	NALCS
04 Mar 2018 - Spring Season	9:00:00 PM	100 Thieves - Team Solomid	1:00:00 AM	2.31	1.6	10	NALCS
04 Mar 2018 - Spring Season	8:00:00 PM	Optic Gaming - Echo Fox	12:01:00 AM	2.94	1.39	10	NALCS
04 Mar 2018 - Spring Season	7:00:00 PM	Counter Logic Gaming - Team Liquid	1:00:00 AM	2.77	1.43	10	NALCS
04 Mar 2018 - Spring Season	1:00:00 AM	Clutch Gaming - Optic Gaming	1:00:00 AM	1.45	2.69	9	NALCS
04 Mar 2018 - Spring Season	12:00:00 AM	Golden Guardians - Echo Fox	1:00:00 AM	4.05	1.23	9	NALCS
03 Mar 2018 - Spring Season	11:00:00 PM	Cloud9 - Counter Logic Gaming	12:01:00 AM	1.34	3.19	9	NALCS
03 Mar 2018 - Spring Season	10:00:00 PM	Team Solomid - FlyQuest eSports	1:00:00 AM	1.42	2.81	9	NALCS
03 Mar 2018 - Spring Season	9:00:00 PM	Team Liquid - 100 Thieves	1:00:00 AM	1.59	2.31	10	NALCS
03 Mar 2018 - Spring Season	7:30:00 PM	G2 Esports - Giants Gaming	1:00:00 AM	1.4	2.91	10	EULCS
03 Mar 2018 - Spring Season	6:20:00 PM	Fnatic - Vitality	1:00:00 AM	1.56	2.4	10	EULCS
03 Mar 2018 - Spring Season	5:20:00 PM	H2k-Gaming - Misfits	1:00:00 AM	2.75	1.44	10	EULCS
03 Mar 2018 - Spring Season	4:20:00 PM	Unicorns of Love - Schalke 04	1:00:00 AM	2.2	1.65	7	EULCS
03 Mar 2018 - Spring Season	3:00:00 PM	Roccat - Splyce	12:01:00 AM	2.11	1.7	10	EULCS
02 Mar 2018 - Spring Season	8:00:00 PM	Misfits - Fnatic	1:00:00 AM	2.36	1.57	10	EULCS
02 Mar 2018 - Spring Season	7:00:00 PM	Splyce - G2 Esports	1:00:00 AM	2.55	1.47	10	EULCS
02 Mar 2018 - Spring Season	6:00:00 PM	Vitality - Schalke 04	1:00:00 AM	1.79	1.99	10	EULCS
02 Mar 2018 - Spring Season	5:10:00 PM	H2k-Gaming - Unicorns of Love	12:01:00 AM	2.04	1.75	10	EULCS
02 Mar 2018 - Spring Season	5:00:00 PM	Roccat - Giants Gaming	1:00:00 AM	2.05	1.72	10	EULCS
25 Feb 2018 - Spring Season	11:00:00 PM	Cloud9 - Clutch Gaming	1:00:00 AM	1.49	2.5	10	NALCS
25 Feb 2018 - Spring Season	10:00:00 PM	Counter Logic Gaming - Golden Guardians	12:01:00 AM	1.52	2.5	10	NALCS
25 Feb 2018 - Spring Season	9:00:00 PM	Echo Fox - Team Liquid	1:00:00 AM	1.69	2.12	10	NALCS
25 Feb 2018 - Spring Season	8:00:00 PM	FlyQuest eSports - 100 Thieves	12:01:00 AM	2.15	1.67	10	NALCS
25 Feb 2018 - Spring Season	7:00:00 PM	Optic Gaming - Team Solomid	12:01:00 AM	2.48	1.52	10	NALCS
25 Feb 2018 - Spring Season	1:00:00 AM	Team Liquid - FlyQuest eSports	1:00:00 AM	1.38	2.99	10	NALCS
25 Feb 2018 - Spring Season	12:00:00 AM	Golden Guardians - Optic Gaming	12:01:00 AM	2.19	1.65	10	NALCS
24 Feb 2018 - Spring Season	11:00:00 PM	Team Solomid - Echo Fox	1:00:00 AM	2.34	1.58	10	NALCS
24 Feb 2018 - Spring Season	10:00:00 PM	Counter Logic Gaming - Clutch Gaming	12:01:00 AM	2.2	1.65	10	NALCS
24 Feb 2018 - Spring Season	9:00:00 PM	100 Thieves - Cloud9	1:00:00 AM	3.02	1.37	10	NALCS
24 Feb 2018 - Spring Season	7:30:00 PM	Misfits - Vitality	1:00:00 AM	1.79	1.97	10	EULCS
24 Feb 2018 - Spring Season	6:40:00 PM	G2 Esports - Fnatic	12:01:00 AM	1.82	1.91	10	EULCS
24 Feb 2018 - Spring Season	5:45:00 PM	Schalke 04 - Splyce	12:01:00 AM	1.81	1.92	10	EULCS
24 Feb 2018 - Spring Season	4:25:00 PM	Giants Gaming - H2k-Gaming	12:01:00 AM	1.66	2.16	9	EULCS
24 Feb 2018 - Spring Season	3:15:00 PM	Roccat - Unicorns of Love	12:01:00 AM	1.63	2.21	9	EULCS
23 Feb 2018 - Spring Season	8:00:00 PM	Schalke 04 - Misfits	1:00:00 AM	2.21	1.64	10	EULCS
23 Feb 2018 - Spring Season	7:00:00 PM	Vitality - Giants Gaming	12:01:00 AM	1.5	2.53	9	EULCS
23 Feb 2018 - Spring Season	6:00:00 PM	Fnatic - H2k-Gaming	1:00:00 AM	1.32	3.31	10	EULCS
23 Feb 2018 - Spring Season	5:00:00 PM	Roccat - G2 Esports	12:01:00 AM	2.86	1.41	10	EULCS
23 Feb 2018 - Spring Season	4:00:00 PM	Unicorns of Love - Splyce	1:00:00 AM	2.64	1.46	10	EULCS
18 Feb 2018 - Spring Season	11:35:00 PM	FlyQuest eSports - Optic Gaming	1:00:00 AM	1.83	2	10	NALCS
18 Feb 2018 - Spring Season	10:00:00 PM	100 Thieves - Counter Logic Gaming	1:00:00 AM	1.88	1.89	10	NALCS
18 Feb 2018 - Spring Season	9:00:00 PM	Echo Fox - Cloud9	1:00:00 AM	2.11	1.7	10	NALCS
18 Feb 2018 - Spring Season	8:00:00 PM	Team Liquid - Golden Guardians	12:01:00 AM	1.21	4.26	10	NALCS
18 Feb 2018 - Spring Season	7:00:00 PM	Clutch Gaming - Team Solomid	1:00:00 AM	2.44	1.53	10	NALCS
18 Feb 2018 - Spring Season	1:00:00 AM	Optic Gaming - Golden Guardians	1:00:00 AM	1.62	2.25	10	NALCS
18 Feb 2018 - Spring Season	12:00:00 AM	Clutch Gaming - FlyQuest eSports	1:00:00 AM	1.77	2.02	10	NALCS
17 Feb 2018 - Spring Season	11:00:00 PM	Cloud9 - Team Solomid	1:00:00 AM	1.63	2.23	10	NALCS
17 Feb 2018 - Spring Season	10:00:00 PM	100 Thieves - Echo Fox	12:01:00 AM	2.79	1.42	10	NALCS
17 Feb 2018 - Spring Season	9:00:00 PM	Team Liquid - Counter Logic Gaming	1:00:00 AM	1.42	2.78	10	NALCS
17 Feb 2018 - Spring Season	7:10:00 PM	Splyce - Fnatic	12:01:00 AM	2.4	1.54	9	EULCS
17 Feb 2018 - Spring Season	6:10:00 PM	Misfits - G2 Esports	12:01:00 AM	2.06	1.73	8	EULCS
17 Feb 2018 - Spring Season	5:00:00 PM	Schalke 04 - Roccat	12:01:00 AM	1.64	2.2	8	EULCS
17 Feb 2018 - Spring Season	4:10:00 PM	H2k-Gaming - Vitality	1:00:00 AM	4.19	1.22	9	EULCS
17 Feb 2018 - Spring Season	3:10:00 PM	Giants Gaming - Unicorns of Love	12:01:00 AM	1.43	2.75	9	EULCS
16 Feb 2018 - Spring Season	8:00:00 PM	Schalke 04 - Fnatic	12:01:00 AM	2.24	1.62	9	EULCS
16 Feb 2018 - Spring Season	7:10:00 PM	Vitality - G2 Esports	12:01:00 AM	1.75	2.03	9	EULCS
16 Feb 2018 - Spring Season	6:00:00 PM	Misfits - Unicorns of Love	1:00:00 AM	1.3	3.38	10	EULCS
16 Feb 2018 - Spring Season	5:05:00 PM	Roccat - H2k-Gaming	12:01:00 AM	1.27	3.62	9	EULCS
16 Feb 2018 - Spring Season	4:15:00 PM	Splyce - Giants Gaming	1:00:00 AM	1.84	1.92	9	EULCS
12 Feb 2018 - Spring Season	1:00:00 AM	Optic Gaming - Clutch Gaming	12:01:00 AM	2.25	1.62	10	NALCS
12 Feb 2018 - Spring Season	12:00:00 AM	Team Liquid - Echo Fox	12:01:00 AM	1.71	2.09	10	NALCS
11 Feb 2018 - Spring Season	11:00:00 PM	Team Solomid - Counter Logic Gaming	1:00:00 AM	1.51	2.49	10	NALCS
11 Feb 2018 - Spring Season	10:00:00 PM	Golden Guardians - 100 Thieves	1:00:00 AM	4	1.23	10	NALCS
11 Feb 2018 - Spring Season	9:00:00 PM	FlyQuest eSports - Cloud9	12:01:00 AM	3.1	1.35	10	NALCS
11 Feb 2018 - Spring Season	1:00:00 AM	Echo Fox - Golden Guardians	1:00:00 AM	1.17	4.73	10	NALCS
11 Feb 2018 - Spring Season	12:00:00 AM	100 Thieves - FlyQuest eSports	12:01:00 AM	1.36	3.03	10	NALCS
10 Feb 2018 - Spring Season	11:00:00 PM	Optic Gaming - Counter Logic Gaming	1:00:00 AM	2.53	1.5	9	NALCS
10 Feb 2018 - Spring Season	10:00:00 PM	Cloud9 - Team Liquid	1:00:00 AM	1.98	1.78	10	NALCS
