gameid	league	split	date	week	game	patchno	playerid	side	position	player	team	champion	ban1	ban2	ban3	ban4	ban5	gamelength	result	k	d	a	teamkills	teamdeaths	doubles	triples	quadras	pentas	fb	fbassist	fbvictim	fbtime	kpm	okpm	ckpm	fd	fdtime	teamdragkills	oppdragkills	elementals	oppelementals	firedrakes	waterdrakes	earthdrakes	airdrakes	elders	oppelders	herald	heraldtime	ft	fttime	firstmidouter	firsttothreetowers	teamtowerkills	opptowerkills	fbaron	fbarontime	teambaronkills	oppbaronkills	dmgtochamps	dmgtochampsperminute	dmgshare	earnedgoldshare	wards	wpm	wardshare	wardkills	wcpm	visionwards	visionwardbuys	visiblewardclearrate	invisiblewardclearrate	totalgold	earnedgpm	goldspent	gspd	minionkills	monsterkills	monsterkillsownjungle	monsterkillsenemyjungle	cspm	goldat10	oppgoldat10	gdat10	goldat15	oppgoldat15	gdat15	xpat10	oppxpat10	xpdat10	csat10	oppcsat10	csdat10	csat15	oppcsat15	csdat15	0	2	3	4	5	6
1011955	LCK	Jan-19	2019-02-16	4.4	1	9.03	2	Blue	Jungle	Malrang	Jin Air Green Wings	Lee Sin	Vladimir	Jayce	Yasuo	Nocturne	Yorick	40.78333333	0	1	2	7	8	8	0	0	0	0	0	1	0	9.834633333	0.02451982	0	0.392317123	0	14.88453333	0	5	0	4	0	0	0	0	0	1	1		1	13.38391667	1	1	6	7	1	29.25888333	1	1	5862	143.7351859	0.076920049	0.129885418	51	1.25051083	0.284916201	10	0.245198202	19	21	 	 	10899	138.0838578	10300	-0.081043316	22	126	91	12	3.628933388	3238	3282	-44	4846	4883	-37	3328	3621	-293	47	73	-26	73	103	-30	0	0	0	0	0	0
1011955	LCK	Jan-19	2019-02-16	4.4	1	9.03	3	Blue	Middle	Grace	Jin Air Green Wings	Ryze	Vladimir	Jayce	Yasuo	Nocturne	Yorick	40.78333333	0	2	2	5	8	8	0	0	0	0	0	1	0	9.834633333	0.04903964	0.098079281	0.392317123	0	14.88453333	0	5	0	0	0	0	0	0	0	0	1		1	13.38391667	1	1	6	7	1	29.25888333	1	1	14253	349.4809971	0.187025155	0.243175822	25	0.612995505	0.139664804	11	0.269718022	12	12	 	 	15811	258.5252145	15735	0.026400515	322	36	36	0	8.778095627	3415	2981	434	5274	4720	554	4912	4340	572	88	51	37	146	71	75	0	0	0	0	0	0
1011955	LCK	Jan-19	2019-02-16	4.4	1	9.03	4	Blue	ADC	Route	Jin Air Green Wings	Viktor	Vladimir	Jayce	Yasuo	Nocturne	Yorick	40.78333333	0	2	2	3	8	8	0	0	0	0	0	0	0	9.834633333	0.04903964	0.04903964	0.392317123	0	14.88453333	0	5	0	0	0	0	0	0	0	0	1		1	13.38391667	1	1	6	7	1	29.25888333	1	1	35285	865.1818553	0.463003057	0.279086481	19	0.465876584	0.106145251	32	0.784634246	12	12	 	 	17368	296.7025746	16200	-0.014280023	387	13	4	5	9.807928075	3416	3525	-109	6019	5131	888	3630	3635	-5	93	86	7	142	136	6	0	0	0	0	0	0
1011955	LCK	Jan-19	2019-02-16	4.4	1	9.03	5	Blue	Support	Nova	Jin Air Green Wings	Galio	Vladimir	Jayce	Yasuo	Nocturne	Yorick	40.78333333	0	0	1	8	8	8	0	0	0	0	0	1	0	9.834633333	0	0	0.392317123	0	14.88453333	0	5	0	0	0	0	0	0	0	0	1		1	13.38391667	1	1	6	7	1	29.25888333	1	1	9311	228.3040458	0.122177171	0.113602229	66	1.618308132	0.368715084	16	0.392317123	18	21	 	 	10193	120.7728647	9350	-0.013280212	95	0	0	0	2.329382918	2318	2097	221	3210	3049	161	2919	2592	327	19	15	4	27	27	0	0	0	0	0	0	0
1011955	LCK	Jan-19	2019-02-16	4.4	1	9.03	6	Red	Top	Nuguri	Damwon Gaming	Sylas	Lucian	Cassiopeia	Lissandra	Sivir	Kai'Sa	40.78333333	1	2	1	3	8	8	0	0	0	0	0	0	1	9.834633333	0.04903964	0.073559461	0.392317123	0	14.88453333	5	0	0	0	0	0	0	0	0	0	0		0	13.38391667	0	0	7	6	0	29.25888333	1	1	9790	240.0490396	0.132769166	0.23784446	19	0.465876584	0.093137255	11	0.269718022	4	4	 	 	16878	284.6878627	16250	0.083333333	349	32	15	5	9.342051492	3547	3669	-122	5198	5250	-52	4585	4663	-78	92	80	12	141	124	17	0	0	0	0	0	0
1011955	LCK	Jan-19	2019-02-16	4.4	1	9.03	7	Red	Jungle	Punch	Damwon Gaming	Olaf	Lucian	Cassiopeia	Lissandra	Sivir	Kai'Sa	40.78333333	1	0	1	6	8	8	0	0	0	0	0	0	0	9.834633333	0	0.02451982	0.392317123	1	14.88453333	5	0	4	0	0	1	2	1	1	0	0		0	13.38391667	0	0	7	6	0	29.25888333	1	1	9706	237.9893747	0.131629982	0.157951966	50	1.225991009	0.245098039	28	0.686554965	14	14	 	 	12978	189.060564	11170	0.081043316	57	182	101	16	5.860237025	3282	3238	44	4883	4846	37	3621	3328	293	73	47	26	103	73	30	0	0	0	0	0	0
1011955	LCK	Jan-19	2019-02-16	4.4	1	9.03	8	Red	Middle	ShowMaker	Damwon Gaming	LeBlanc	Lucian	Cassiopeia	Lissandra	Sivir	Kai'Sa	40.78333333	1	4	0	4	8	8	0	0	0	0	0	0	0	9.834633333	0.098079281	0.04903964	0.392317123	0	14.88453333	5	0	0	0	0	0	0	0	0	0	0		0	13.38391667	0	0	7	6	0	29.25888333	1	1	25626	628.3449121	0.347532446	0.24673506	43	1.054352268	0.210784314	20	0.490396404	9	9	 	 	17312	295.3294647	15325	-0.026400515	241	33	20	9	6.718430732	2981	3415	-434	4720	5274	-554	4340	4912	-572	51	88	-37	71	146	-75	0	0	0	0	0	0
1011955	LCK	Jan-19	2019-02-16	4.4	1	9.03	9	Red	ADC	Aries	Damwon Gaming	Ezreal	Lucian	Cassiopeia	Lissandra	Sivir	Kai'Sa	40.78333333	1	2	2	2	8	8	1	0	0	0	0	0	0	9.834633333	0.04903964	0.04903964	0.392317123	0	14.88453333	5	0	0	0	0	0	0	0	0	0	0		0	13.38391667	0	0	7	6	0	29.25888333	1	1	24825	608.7045362	0.336669515	0.249459599	22	0.539436044	0.107843137	20	0.490396404	12	12	 	 	17445	298.5906007	16433	0.014280023	361	40	32	4	9.832447895	3525	3416	109	5131	6019	-888	3635	3630	5	86	93	-7	136	142	-6	0	0	0	0	0	0
1011955	LCK	Jan-19	2019-02-16	4.4	1	9.03	10	Red	Support	Hoit	Damwon Gaming	Tahm Kench	Lucian	Cassiopeia	Lissandra	Sivir	Kai'Sa	40.78333333	1	0	4	6	8	8	0	0	0	0	0	0	0	9.834633333	0	0	0.392317123	0	14.88453333	5	0	0	0	0	0	0	0	0	0	0		0	13.38391667	0	0	7	6	0	29.25888333	1	1	3790	92.93011851	0.051398891	0.108008915	70	1.716387413	0.343137255	20	0.490396404	17	18	 	 	10540	129.2812423	9475	0.013280212	106	0	0	0	2.59910094	2097	2318	-221	3049	3210	-161	2592	2919	-327	15	19	-4	27	27	0	0	0	0	0	0	0
1011955	LCK	Jan-19	2019-02-16	4.4	1	9.03	100	Blue	Team	Team	Jin Air Green Wings	 	Vladimir	Jayce	Yasuo	Nocturne	Yorick	40.78333333	0	8	8	27	8	8	 	 	 	 	1	1	0	9.834633333	0.196158562	0.196158562	0.392317123	0	14.88453333	0	5	0	4	0	0	0	0	0	1	1	12.20005	1	13.38391667	1	1	6	7	1	29.25888333	1	1	76209	1868.630977	 	 	179	4.389047814	1	77	1.888026154	65	70	0.483333333	0.290909091	69695	1063.120556	66535	-0.031334142	1124	195	146	17	32.34164283	16056	15432	624	24599	22981	1618	19452	18773	679	327	317	10	512	478	34	0	0	0	0	0	0
1011955	LCK	Jan-19	2019-02-16	4.4	1	9.03	200	Red	Team	Team	Damwon Gaming	 	Lucian	Cassiopeia	Lissandra	Sivir	Kai'Sa	40.78333333	1	8	8	21	8	8	 	 	 	 	0	0	1	9.834633333	0.196158562	0.196158562	0.392317123	1	14.88453333	5	0	4	0	0	1	2	1	1	0	0	12.20005	0	13.38391667	0	0	7	6	0	29.25888333	1	1	73737	1808.017981	 	 	204	5.002043318	1	99	2.427462199	56	57	0.583333333	0.522222222	75153	1196.949734	68653	0.031334142	1114	287	168	34	34.35226808	15432	16056	-624	22981	24599	-1618	18773	19452	-679	317	327	-10	478	512	-34	0	0	0	0	0	0
1012004	LCK	Jan-19	2019-02-16	4.4	2	9.03	1	Blue	Top	Nuguri	Damwon Gaming	Aatrox	Galio	Lissandra	Yasuo	Ashe	Viktor	30.91666667	1	3	0	3	9	1	1	0	0	0	0	0	0	4.456083333	0.09703504	0.032345013	0.323450135	0	7.719883333	5	0	1	0	0	0	1	0	0	0	1		1	15.15893333	1	1	10	1			0	0	13196	426.8247978	0.285325088	0.279272526	15	0.485175202	0.111111111	8	0.258760108	4	4	 	 	15162	359.1008086	11150	0.024971623	313	49	11	17	11.70889488	3628	3096	532	5706	4409	1297	5295	4853	442	91	77	14	147	113	34	0	0	0	0	0	0
1012004	LCK	Jan-19	2019-02-16	4.4	2	9.03	2	Blue	Jungle	Punch	Damwon Gaming	Olaf	Galio	Lissandra	Yasuo	Ashe	Viktor	30.91666667	1	4	0	1	9	1	0	0	0	0	1	0	0	4.456083333	0.129380054	0	0.323450135	1	7.719883333	5	0	4	0	2	0	1	1	0	0	1		1	15.15893333	1	1	10	1			0	0	5881	190.2210243	0.127159506	0.181898677	39	1.261455526	0.288888889	23	0.74393531	10	12	 	 	11291	233.8932615	9700	0.33033033	38	146	88	13	5.95148248	3595	2909	686	5565	4415	1150	3404	2922	482	59	52	7	88	84	4	0	0	0	0	0	0
1012004	LCK	Jan-19	2019-02-16	4.4	2	9.03	3	Blue	Middle	ShowMaker	Damwon Gaming	LeBlanc	Galio	Lissandra	Yasuo	Ashe	Viktor	30.91666667	1	2	0	1	9	1	1	0	0	0	0	0	0	4.456083333	0.064690027	0	0.323450135	0	7.719883333	5	0	0	0	0	0	0	0	0	0	1		1	15.15893333	1	1	10	1			0	0	8687	280.9811321	0.187831088	0.215253811	14	0.452830189	0.103703704	13	0.420485175	8	9	 	 	12617	276.7827493	11600	0.148148148	282	25	16	4	9.929919137	3429	3310	119	5207	4981	226	5066	4428	638	96	89	7	147	138	9	0	0	0	0	0	0
1012004	LCK	Jan-19	2019-02-16	4.4	2	9.03	4	Blue	ADC	Nuclear	Damwon Gaming	Ezreal	Galio	Lissandra	Yasuo	Ashe	Viktor	30.91666667	1	0	1	3	9	1	0	0	0	0	0	1	0	4.456083333	0	0	0.323450135	0	7.719883333	5	0	0	0	0	0	0	0	0	0	1		1	15.15893333	1	1	10	1			0	0	15646	506.0700809	0.338299206	0.225818786	15	0.485175202	0.111111111	7	0.226415094	6	6	 	 	13037	290.367655	13083	0.082202682	303	22	16	6	10.51212938	3547	3392	155	5434	5341	93	3401	3367	34	89	95	-6	146	153	-7	0	0	0	0	0	0
1012004	LCK	Jan-19	2019-02-16	4.4	2	9.03	5	Blue	Support	Hoit	Damwon Gaming	Alistar	Galio	Lissandra	Yasuo	Ashe	Viktor	30.91666667	1	0	0	4	9	1	0	0	0	0	0	1	0	4.456083333	0	0	0.323450135	0	7.719883333	5	0	0	0	0	0	0	0	0	0	1		1	15.15893333	1	1	10	1			0	0	2839	91.82749326	0.061385111	0.097756201	52	1.681940701	0.385185185	11	0.355795148	12	12	 	 	7946	125.6991914	6750	0.053231939	67	0	0	0	2.167115903	2160	2156	4	3257	3140	117	2439	2716	-277	15	16	-1	25	27	-2	0	0	0	0	0	0
1012004	LCK	Jan-19	2019-02-16	4.4	2	9.03	6	Red	Top	Lindarang	Jin Air Green Wings	Urgot	Lucian	Vladimir	Jayce	Soraka	Gragas	30.91666667	0	1	3	0	1	9	0	0	0	0	0	0	0	4.456083333	0.032345013	0.09703504	0.323450135	0	7.719883333	0	5	0	1	0	0	0	0	0	0	0		0	15.15893333	0	0	1	10			0	0	6803	220.0431267	0.196857457	0.248728091	16	0.517520216	0.123076923	5	0.161725067	6	7	 	 	10914	221.6991914	10875	-0.024971623	243	6	4	0	8.053908356	3096	3628	-532	4409	5706	-1297	4853	5295	-442	77	91	-14	113	147	-34	0	0	0	0	0	0
1012004	LCK	Jan-19	2019-02-16	4.4	2	9.03	7	Red	Jungle	Malrang	Jin Air Green Wings	Lee Sin	Lucian	Vladimir	Jayce	Soraka	Gragas	30.91666667	0	0	1	1	1	9	0	0	0	0	0	0	0	4.456083333	0	0.129380054	0.323450135	0	7.719883333	0	5	0	4	0	0	0	0	0	0	0		0	15.15893333	0	0	1	10			0	0	3001	97.06738544	0.086839516	0.123279022	41	1.326145553	0.315384615	15	0.485175202	15	17	 	 	7457	109.8824798	6950	-0.33033033	21	94	75	0	3.71967655	2909	3595	-686	4415	5565	-1150	2922	3404	-482	52	59	-7	84	88	-4	0	0	0	0	0	0
1012004	LCK	Jan-19	2019-02-16	4.4	2	9.03	8	Red	Middle	Grace	Jin Air Green Wings	Ryze	Lucian	Vladimir	Jayce	Soraka	Gragas	30.91666667	0	0	2	1	1	9	0	0	0	0	0	0	0	4.456083333	0	0.064690027	0.323450135	0	7.719883333	0	5	0	0	0	0	0	0	0	0	0		0	15.15893333	0	0	1	10			0	0	9120	294.9865229	0.263904161	0.243575135	16	0.517520216	0.123076923	5	0.161725067	7	8	 	 	10772	217.1061995	10000	-0.148148148	270	14	11	0	9.185983827	3310	3429	-119	4981	5207	-226	4428	5066	-638	89	96	-7	138	147	-9	0	0	0	0	0	0
1012004	LCK	Jan-19	2019-02-16	4.4	2	9.03	9	Red	ADC	Route	Jin Air Green Wings	Sivir	Lucian	Vladimir	Jayce	Soraka	Gragas	30.91666667	0	0	1	1	1	9	0	0	0	0	0	0	0	4.456083333	0	0	0.323450135	0	7.719883333	0	5	0	0	0	0	0	0	0	0	0		0	15.15893333	0	0	1	10			0	0	13101	423.7520216	0.3791018	0.296846536	10	0.323450135	0.076923077	15	0.485175202	3	4	 	 	12240	264.5886792	12050	-0.082202682	331	29	29	0	11.64420485	3392	3547	-155	5341	5434	-93	3367	3401	-34	95	89	6	153	146	7	0	0	0	0	0	0
